lam_q88	lam_actual	P	R	F1	avg_tokens_sent	avg_tok_len	used	correct	gold_total	pred_total	tok20k_sec	tok20k_elapsed	tok20k_maxrss_kb	docs_per_sec
0	0.000000	0.844586	0.826803	0.835600	29.5414	1.8048	181	4516	5462	5347	0.410000	0:00.41	3736	48670.73
1	0.003906	0.846269	0.828451	0.837265	29.5414	1.8048	181	4525	5462	5347	0.410000	0:00.41	3320	48670.73
2	0.007812	0.847451	0.827902	0.837563	29.4807	1.8085	181	4522	5462	5336	0.440000	0:00.44	5096	45352.27
3	0.011719	0.847769	0.827902	0.837718	29.4696	1.8091	181	4522	5462	5334	0.410000	0:00.41	3796	48670.73
4	0.015625	0.848030	0.827536	0.837658	29.4475	1.8105	181	4520	5462	5330	0.430000	0:00.43	3792	46406.98
5	0.019531	0.848798	0.827353	0.837938	29.4144	1.8125	181	4519	5462	5324	0.400000	0:00.40	4984	49887.50
6	0.023438	0.848798	0.827353	0.837938	29.4144	1.8125	181	4519	5462	5324	0.420000	0:00.42	3924	47511.90
7	0.027344	0.848798	0.827353	0.837938	29.4144	1.8125	181	4519	5462	5324	0.420000	0:00.42	5168	47511.90
8	0.031250	0.849258	0.828268	0.838632	29.4309	1.8115	181	4524	5462	5327	0.420000	0:00.42	4036	47511.90
9	0.035156	0.849258	0.828268	0.838632	29.4309	1.8115	181	4524	5462	5327	0.410000	0:00.41	5016	48670.73
10	0.039062	0.849258	0.828268	0.838632	29.4309	1.8115	181	4524	5462	5327	0.440000	0:00.44	4420	45352.27
11	0.042969	0.849135	0.826437	0.837632	29.3702	1.8153	181	4514	5462	5316	0.410000	0:00.41	3324	48670.73
12	0.046875	0.851328	0.827170	0.839075	29.3204	1.8184	181	4518	5462	5307	0.440000	0:00.44	4248	45352.27
13	0.050781	0.851593	0.826803	0.839015	29.2983	1.8197	181	4516	5462	5303	0.410000	0:00.41	3680	48670.73
14	0.054688	0.851887	0.826620	0.839063	29.2818	1.8208	181	4515	5462	5300	0.410000	0:00.41	3748	48670.73
15	0.058594	0.852785	0.824057	0.838175	29.1602	1.8283	181	4501	5462	5278	0.460000	0:00.46	5160	43380.43
16	0.062500	0.853187	0.823508	0.838085	29.1271	1.8304	181	4498	5462	5272	0.420000	0:00.42	4384	47511.90
17	0.066406	0.853774	0.822043	0.837608	29.0552	1.8349	181	4490	5462	5259	0.410000	0:00.41	4128	48670.73
18	0.070312	0.854587	0.822043	0.837999	29.0276	1.8367	181	4490	5462	5254	0.420000	0:00.42	4628	47511.90
19	0.074219	0.854226	0.819663	0.836588	28.9558	1.8413	181	4477	5462	5241	0.440000	0:00.44	3808	45352.27
20	0.078125	0.854605	0.818931	0.836387	28.9171	1.8437	181	4473	5462	5234	0.410000	0:00.41	4160	48670.73
21	0.082031	0.855198	0.816368	0.835332	28.8066	1.8508	181	4459	5462	5214	0.410000	0:00.41	4392	48670.73
22	0.085938	0.855331	0.815086	0.834724	28.7569	1.8540	181	4452	5462	5205	0.440000	0:00.44	3604	45352.27
23	0.089844	0.856125	0.813804	0.834428	28.6851	1.8586	181	4445	5462	5192	0.480000	0:00.48	4180	41572.92
24	0.093750	0.857446	0.813804	0.835055	28.6409	1.8615	181	4445	5462	5184	0.480000	0:00.48	3996	41572.92
25	0.097656	0.859021	0.813255	0.835512	28.5691	1.8662	181	4442	5462	5171	0.500000	0:00.50	3532	39910.00
