lambda0	mdl_lambda_len	P	R	F1	avg_tokens_sent	avg_tok_len	used_lines	tok20k_elapsed	tok20k_maxrss_kb
1.0	0.15	0.956981	0.480593	0.639854	15.1547	3.5180	181	0:00.61	5108
0.7	0.15	0.962105	0.562431	0.709879	17.6409	3.0222	181	0:00.71	3384
0.5	0.15	0.961476	0.653424	0.778068	20.5083	2.5997	181	0:00.68	4936
0.3	0.15	0.930297	0.740388	0.824549	24.0166	2.2199	181	0:00.60	4764
0.2	0.15	0.891331	0.786891	0.835862	26.6409	2.0012	181	0:00.63	4652
1.0	0.2	0.956981	0.480593	0.639854	15.1547	3.5180	181	0:00.62	3916
0.7	0.2	0.962105	0.562431	0.709879	17.6409	3.0222	181	0:00.62	4944
0.5	0.2	0.961476	0.653424	0.778068	20.5083	2.5997	181	0:00.61	4124
0.3	0.2	0.930297	0.740388	0.824549	24.0166	2.2199	181	0:00.61	3620
0.2	0.2	0.891331	0.786891	0.835862	26.6409	2.0012	181	0:00.62	3260
1.0	0.3	0.956981	0.480593	0.639854	15.1547	3.5180	181	0:00.71	5216
0.7	0.3	0.962105	0.562431	0.709879	17.6409	3.0222	181	0:00.68	4724
0.5	0.3	0.961476	0.653424	0.778068	20.5083	2.5997	181	0:00.59	4960
0.3	0.3	0.930297	0.740388	0.824549	24.0166	2.2199	181	0:00.63	4252
0.2	0.3	0.891331	0.786891	0.835862	26.6409	2.0012	181	0:00.65	3352
1.0	0.4	0.956981	0.480593	0.639854	15.1547	3.5180	181	0:00.64	4612
0.7	0.4	0.962105	0.562431	0.709879	17.6409	3.0222	181	0:00.63	3540
0.5	0.4	0.961476	0.653424	0.778068	20.5083	2.5997	181	0:00.62	4968
0.3	0.4	0.930297	0.740388	0.824549	24.0166	2.2199	181	0:00.64	5004
0.2	0.4	0.891331	0.786891	0.835862	26.6409	2.0012	181	0:00.63	4980
